formula,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,PCA_X,PCA_Y,Predicted_Stability,Stability_Probability
Rb2MnNiH6,1.0,37.0,36.0,13.3,14.760000000000002,1.0,4.0,92.0,88.0,67.3,29.639999999999997,92.0,1.00794,85.4678,84.45985999999999,29.0614685,33.664234199999996,1.00794,14.01,1728.0,1713.99,395.598,491.1608,14.01,1.0,10.0,9.0,2.5,2.4,1.0,1.0,5.0,4.0,2.4,1.6799999999999997,1.0,31.0,220.0,189.0,88.9,69.47999999999999,31.0,0.82,2.2,1.3800000000000003,1.83,0.46000000000000013,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.3,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,2.5,2.4,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.7,1.1199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.5,0.8,1.0,6.615,90.7225,84.1075,24.19425862069,26.611296551724003,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,194.0,229.0,35.0,206.4,14.88,194.0,-10.779664234523699,2.008115892564815,1,0.9163087885985749
Rb2NiMnH6,1.0,37.0,36.0,13.3,14.760000000000002,1.0,4.0,92.0,88.0,67.3,29.639999999999997,92.0,1.00794,85.4678,84.45985999999999,29.0614685,33.664234199999996,1.00794,14.01,1728.0,1713.99,395.598,491.1608,14.01,1.0,10.0,9.0,2.5,2.4,1.0,1.0,5.0,4.0,2.4,1.6799999999999997,1.0,31.0,220.0,189.0,88.9,69.47999999999999,31.0,0.82,2.2,1.3800000000000003,1.83,0.46000000000000013,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.3,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,2.5,2.4,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.7,1.1199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.5,0.8,1.0,6.615,90.7225,84.1075,24.19425862069,26.611296551724003,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.5953947,0.5953947,0.0595704820689655,0.10716484358620688,0.0,194.0,229.0,35.0,206.4,14.88,194.0,-10.779664234523699,2.0081158925648146,1,0.9163087885985749
Rb2ZnNiH6,1.0,37.0,36.0,13.8,15.360000000000003,1.0,4.0,92.0,88.0,69.0,27.6,92.0,1.00794,85.4678,84.45985999999999,30.105664,34.9172688,1.00794,14.01,1728.0,1713.99,312.966,358.94960000000003,14.01,1.0,12.0,11.0,3.0,3.2,1.0,1.0,5.0,4.0,2.4,1.6799999999999997,1.0,31.0,220.0,189.0,87.2,67.44000000000001,31.0,0.82,2.2,1.3800000000000003,1.8400000000000003,0.446,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,3.0,3.2,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.2,1.0,6.615,90.7225,84.1075,24.5415,26.4724,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.5953947,0.5953947,0.059539470000000004,0.107171046,0.0,194.0,229.0,35.0,204.1,14.139999999999997,194.0,-10.109893173511109,1.7897649596328935,1,0.915210716387848
Rb2NiZnH6,1.0,37.0,36.0,13.8,15.360000000000003,1.0,4.0,92.0,88.0,69.0,27.6,92.0,1.00794,85.4678,84.45985999999999,30.105664,34.9172688,1.00794,14.01,1728.0,1713.99,312.966,358.94960000000003,14.01,1.0,12.0,11.0,3.0,3.2,1.0,1.0,5.0,4.0,2.4,1.6799999999999997,1.0,31.0,220.0,189.0,87.2,67.44000000000001,31.0,0.82,2.2,1.3800000000000003,1.8399999999999999,0.4460000000000003,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,3.0,3.2,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.2,1.0,6.615,90.7225,84.1075,24.5415,26.4724,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.5953947,0.5953947,0.059539470000000004,0.107171046,0.0,194.0,229.0,35.0,204.1,14.139999999999997,194.0,-10.109893173511109,1.7897649596328935,1,0.915210716387848
Cs2NiZnH6,1.0,55.0,54.0,17.4,19.68,1.0,5.0,92.0,87.0,69.2,27.360000000000003,92.0,1.00794,132.9054519,131.8975119,39.59319438,46.302305256,1.00794,14.01,1728.0,1713.99,310.792,359.8192,14.01,1.0,12.0,11.0,3.0,3.2,1.0,1.0,6.0,5.0,2.6,1.9200000000000004,1.0,31.0,244.0,213.0,92.0,73.2,31.0,0.79,2.2,1.4100000000000001,1.8340000000000003,0.4544,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,3.0,3.2,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.2,1.0,6.615,115.765,109.15,29.55,34.486000000000004,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.5953947,0.5953947,0.059539470000000004,0.107171046,0.0,194.0,229.0,35.0,204.1,14.139999999999997,194.0,-11.009891917298086,3.8643982165046427,1,0.911519504986423
Cs2ZnNiH6,1.0,55.0,54.0,17.4,19.68,1.0,5.0,92.0,87.0,69.2,27.360000000000003,92.0,1.00794,132.9054519,131.8975119,39.59319438,46.302305256,1.00794,14.01,1728.0,1713.99,310.792,359.8192,14.01,1.0,12.0,11.0,3.0,3.2,1.0,1.0,6.0,5.0,2.6,1.9200000000000004,1.0,31.0,244.0,213.0,92.0,73.2,31.0,0.79,2.2,1.4100000000000001,1.834,0.4544,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,3.0,3.2,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.2,1.0,6.615,115.765,109.15,29.55,34.486000000000004,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.5953947,0.5953947,0.059539470000000004,0.107171046,0.0,194.0,229.0,35.0,204.1,14.139999999999997,194.0,-11.009891917298086,3.8643982165046427,1,0.911519504986423
Rb2FeCoH6,1.0,37.0,36.0,13.3,14.760000000000002,1.0,4.0,92.0,88.0,67.3,29.639999999999997,92.0,1.00794,85.4678,84.45985999999999,29.176143500000002,33.80184419999999,1.00794,14.01,1811.0,1796.99,428.79800000000006,544.2808000000001,14.01,1.0,9.0,8.0,2.5,2.4,1.0,1.0,5.0,4.0,2.4,1.6799999999999997,1.0,31.0,220.0,189.0,88.4,68.88,31.0,0.82,2.2,1.3800000000000003,1.855,0.41900000000000015,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.3,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,2.5,2.4,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.7,1.1199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.5,0.8,1.0,6.615,90.7225,84.1075,24.211,26.604599999999998,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,2.1106628,2.1106628,0.3659134,0.5854614400000001,0.0,194.0,229.0,35.0,204.5,14.7,194.0,-11.187214772564026,2.1069346616671805,1,0.9009166997713715
Rb2CoFeH6,1.0,37.0,36.0,13.3,14.760000000000002,1.0,4.0,92.0,88.0,67.3,29.639999999999997,92.0,1.00794,85.4678,84.45985999999999,29.176143500000002,33.8018442,1.00794,14.01,1811.0,1796.99,428.79800000000006,544.2808000000001,14.01,1.0,9.0,8.0,2.5,2.4,1.0,1.0,5.0,4.0,2.4,1.6799999999999997,1.0,31.0,220.0,189.0,88.4,68.88,31.0,0.82,2.2,1.3800000000000003,1.855,0.41900000000000015,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.3,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,2.5,2.4,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.7,1.1199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.5,0.8,1.0,6.615,90.7225,84.1075,24.211,26.604599999999998,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,2.1106628,2.1106628,0.3659134,0.58546144,0.0,194.0,229.0,35.0,204.5,14.7,194.0,-11.187214772564026,2.1069346616671805,1,0.9009166997713715
Rb2MnZnH6,1.0,37.0,36.0,13.5,15.0,1.0,4.0,92.0,88.0,68.1,28.860000000000003,92.0,1.00794,85.4678,84.45985999999999,29.7301285,34.46662619999999,1.00794,14.01,1519.0,1504.99,292.066,333.6672,14.01,1.0,12.0,11.0,2.7,2.72,1.0,1.0,5.0,4.0,2.4,1.6799999999999997,1.0,31.0,220.0,189.0,88.7,69.24000000000001,31.0,0.82,2.2,1.3800000000000003,1.8039999999999998,0.4752000000000002,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,2.7,2.72,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.3,0.74,1.0,6.615,90.7225,84.1075,24.55825862069,26.465696551724,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.000310120689655,0.000310120689655,3.10120689655e-05,5.58217241379e-05,0.0,194.0,229.0,35.0,203.3,13.020000000000005,194.0,-10.406044065101883,2.1038257061428065,1,0.896246984138937
Rb2ZnMnH6,1.0,37.0,36.0,13.5,15.0,1.0,4.0,92.0,88.0,68.1,28.860000000000003,92.0,1.00794,85.4678,84.45985999999999,29.7301285,34.46662619999999,1.00794,14.01,1519.0,1504.99,292.066,333.6672,14.01,1.0,12.0,11.0,2.7,2.72,1.0,1.0,5.0,4.0,2.4,1.6799999999999997,1.0,31.0,220.0,189.0,88.7,69.24000000000001,31.0,0.82,2.2,1.3800000000000003,1.8039999999999998,0.4752000000000002,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,2.7,2.72,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.3,0.74,1.0,6.615,90.7225,84.1075,24.55825862069,26.465696551724,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.000310120689655,0.000310120689655,3.10120689655e-05,5.58217241379e-05,0.0,194.0,229.0,35.0,203.3,13.020000000000005,194.0,-10.406044065101883,2.1038257061428065,1,0.896246984138937
K2ScTiH6,1.0,22.0,21.0,8.7,9.24,1.0,3.0,92.0,89.0,61.2,36.96,92.0,1.00794,47.867,46.85906,17.706715199999998,20.038530239999996,1.00794,14.01,1941.0,1926.99,451.212,570.5152,14.01,1.0,4.0,3.0,1.5,0.8,1.0,1.0,4.0,3.0,2.2,1.44,1.0,31.0,203.0,172.0,92.2,73.44000000000001,31.0,0.82,2.2,1.3800000000000003,1.7740000000000002,0.5112,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.3,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.5,0.8,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.7,2.7199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,2.5,2.4,1.0,6.615,73.1066666667,66.4916666667,22.48283333334,20.249533333343997,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,2.25333333333e-05,2.25333333333e-05,2.8883333333300003e-06,4.621333333328001e-06,0.0,194.0,229.0,35.0,201.0,11.2,194.0,-11.657726599324826,0.647093827911302,1,0.8946372140713871
K2TiScH6,1.0,22.0,21.0,8.7,9.24,1.0,3.0,92.0,89.0,61.2,36.96,92.0,1.00794,47.867,46.85906,17.7067152,20.03853024,1.00794,14.01,1941.0,1926.99,451.212,570.5152,14.01,1.0,4.0,3.0,1.5,0.8,1.0,1.0,4.0,3.0,2.2,1.44,1.0,31.0,203.0,172.0,92.2,73.44000000000001,31.0,0.82,2.2,1.3800000000000003,1.7740000000000002,0.5112,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.3,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.5,0.8,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.7,2.7199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,2.5,2.4,1.0,6.615,73.1066666667,66.4916666667,22.48283333334,20.249533333343997,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,2.25333333333e-05,2.25333333333e-05,2.8883333333300003e-06,4.621333333328001e-06,0.0,194.0,229.0,35.0,201.0,11.2,194.0,-11.657726599324826,0.647093827911302,1,0.8946372140713871
K2NiFeH6,1.0,28.0,27.0,9.8,10.559999999999999,1.0,3.0,92.0,89.0,67.4,29.52,92.0,1.00794,58.6934,57.68546,19.878263999999998,22.644388799999998,1.00794,14.01,1811.0,1796.99,429.61199999999997,535.9552,14.01,1.0,10.0,9.0,2.6,2.56,1.0,1.0,4.0,3.0,2.2,1.44,1.0,31.0,203.0,172.0,84.8,64.55999999999999,31.0,0.82,2.2,1.3800000000000003,1.858,0.4208,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.4,2.2399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,2.6,2.56,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.6,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.4,0.6399999999999999,1.0,6.615,73.1066666667,66.4916666667,20.695333333339995,20.964533333343997,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,2.1106628,2.1106628,0.27060575,0.43296919999999994,0.0,194.0,229.0,35.0,207.6,16.32,194.0,-10.211564525655664,0.4288777477896558,1,0.8945461067131589
K2FeNiH6,1.0,28.0,27.0,9.8,10.559999999999999,1.0,3.0,92.0,89.0,67.4,29.52,92.0,1.00794,58.6934,57.68546,19.878264,22.6443888,1.00794,14.01,1811.0,1796.99,429.61199999999997,535.9552,14.01,1.0,10.0,9.0,2.6,2.56,1.0,1.0,4.0,3.0,2.2,1.44,1.0,31.0,203.0,172.0,84.8,64.55999999999999,31.0,0.82,2.2,1.3800000000000003,1.858,0.4208000000000001,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.4,2.2399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,2.6,2.56,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.6,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.4,0.6399999999999999,1.0,6.615,73.1066666667,66.4916666667,20.695333333339995,20.964533333343997,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,2.1106628,2.1106628,0.27060575,0.43296919999999994,0.0,194.0,229.0,35.0,207.6,16.32,194.0,-10.211564525655664,0.42887774778965604,1,0.8945461067131589
Cs2ZnCuH6,1.0,55.0,54.0,17.5,19.8,1.0,5.0,92.0,87.0,69.5,27.0,92.0,1.00794,132.9054519,131.8975119,40.07845438,46.884617256,1.00794,14.01,1357.77,1343.76,273.769,311.7108,14.01,1.0,12.0,11.0,3.1,3.3600000000000003,1.0,1.0,6.0,5.0,2.6,1.9200000000000004,1.0,31.0,244.0,213.0,92.8,74.16,31.0,0.79,2.2,1.4100000000000001,1.8330000000000002,0.45380000000000004,2.2,1.0,2.0,1.0,1.1,0.18000000000000008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,3.1,3.3600000000000003,1.0,0.0,1.0,1.0,0.9,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,0.18,1.0,6.615,115.765,109.15,29.625,34.456,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,204.1,14.139999999999997,194.0,-10.984858853463345,3.862486934895634,1,0.89
Cs2CuZnH6,1.0,55.0,54.0,17.5,19.8,1.0,5.0,92.0,87.0,69.5,27.0,92.0,1.00794,132.9054519,131.8975119,40.07845438,46.884617256,1.00794,14.01,1357.77,1343.76,273.76899999999995,311.71079999999995,14.01,1.0,12.0,11.0,3.1,3.3600000000000003,1.0,1.0,6.0,5.0,2.6,1.9200000000000004,1.0,31.0,244.0,213.0,92.8,74.16,31.0,0.79,2.2,1.4100000000000001,1.8330000000000002,0.45380000000000004,2.2,1.0,2.0,1.0,1.1,0.18000000000000008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,3.1,3.3600000000000003,1.0,0.0,1.0,1.0,0.9,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,0.18,1.0,6.615,115.765,109.15,29.625,34.456,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,204.1,14.139999999999997,194.0,-10.984858853463345,3.862486934895634,1,0.89
K2NiCoH6,1.0,28.0,27.0,9.9,10.680000000000001,1.0,3.0,92.0,89.0,67.7,29.160000000000004,92.0,1.00794,58.933195,57.925255,20.1870835,23.0149722,1.00794,14.01,1768.0,1753.99,425.312,529.0752,14.01,1.0,10.0,9.0,2.7,2.72,1.0,1.0,4.0,3.0,2.2,1.44,1.0,31.0,203.0,172.0,84.2,63.84000000000001,31.0,0.82,2.2,1.3800000000000003,1.8630000000000002,0.4171999999999999,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,2.7,2.72,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.3,0.4800000000000001,1.0,6.615,73.1066666667,66.4916666667,20.64683333334,20.983933333343998,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,1.5484712,1.5484712,0.21438659000000002,0.34301854400000004,0.0,194.0,229.0,35.0,204.1,14.139999999999997,194.0,-9.993316787714086,0.26956928079490866,1,0.886623094949001
K2CoNiH6,1.0,28.0,27.0,9.9,10.680000000000001,1.0,3.0,92.0,89.0,67.7,29.160000000000004,92.0,1.00794,58.933195,57.925255,20.1870835,23.0149722,1.00794,14.01,1768.0,1753.99,425.312,529.0752,14.01,1.0,10.0,9.0,2.7,2.72,1.0,1.0,4.0,3.0,2.2,1.44,1.0,31.0,203.0,172.0,84.2,63.84000000000001,31.0,0.82,2.2,1.3800000000000003,1.8630000000000002,0.4171999999999999,2.2,1.0,2.0,1.0,1.2,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,2.7,2.72,1.0,0.0,1.0,1.0,0.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.3,0.4800000000000001,1.0,6.615,73.1066666667,66.4916666667,20.64683333334,20.983933333343998,6.615,0.0,7.853,7.853,4.711799999999999,3.7694400000000003,7.853,0.0,1.5484712,1.5484712,0.21438659000000002,0.34301854400000004,0.0,194.0,229.0,35.0,204.1,14.139999999999997,194.0,-9.993316787714086,0.26956928079490866,1,0.886623094949001
